CustomerID,DrivingExperienceYears,AccidentsLast5Years,TrafficViolations
218,38,0,3
219,4,0,2
220,23,0,1
221,9,0,0
222,1,0,1
223,27,0,0
224,10,0,0
225,27,0,2
226,10,0,1
227,33,0,0
228,12,0,1
229,27,0,1
230,23,0,0
231,38,0,2
232,39,0,2
233,29,0,0
234,39,0,0
235,21,0,1
236,30,0,0
237,29,0,0
238,6,0,2
239,12,0,4
240,21,0,2
241,17,0,0
242,9,0,2
243,14,0,1
244,29,0,0
245,18,0,1
246,23,0,0
247,8,0,0
248,23,0,2
249,5,0,0
250,34,0,2
251,31,0,3
252,1,0,0
253,37,0,2
254,19,0,0
255,33,0,3
256,10,0,1
257,16,0,0
258,25,0,2
259,8,0,1
260,20,0,2
261,21,0,1
262,37,0,0
263,10,0,0
264,25,0,2
265,9,0,1
266,13,0,0
267,2,0,1
268,30,0,0
269,2,0,2
270,12,0,1
271,39,0,0
272,29,0,3
273,17,0,1
274,39,0,2
275,12,0,1
276,1,0,3
277,35,0,0
278,19,0,1
279,29,0,2
280,27,0,2
281,38,0,4
282,37,0,0
283,29,0,0
284,29,0,2
285,23,0,1
286,25,0,2
287,25,0,3
288,32,0,0
289,6,0,0
290,14,0,0
291,32,0,1
292,37,0,3
293,22,0,2
294,4,0,0
295,31,0,1
296,10,0,3
297,15,0,4
298,26,0,2
299,36,0,1
300,1,0,1
301,33,0,1
302,19,0,1
303,35,0,1
304,35,0,1
305,9,0,2
306,9,0,1
307,28,0,1
308,24,0,1
309,11,0,2
310,6,0,2
311,10,0,1
312,18,0,2
313,6,0,3
314,31,0,0
315,30,0,1
316,23,0,0
317,19,0,0
318,8,0,3
319,14,0,0
320,39,0,0
321,0,0,3
322,3,0,3
323,29,0,0
324,3,0,0
325,11,0,0
326,9,0,2
327,22,0,2
328,24,0,0
329,24,0,2
330,8,0,1
331,15,0,2
332,20,0,1
333,1,0,2
334,18,0,2
335,11,0,0
336,9,0,3
337,33,0,2
338,29,0,0
339,39,0,1
340,0,0,0
341,12,0,1
342,8,0,2
343,36,0,0
344,27,0,1
345,14,0,0
346,13,0,1
347,31,0,2
348,6,0,1
349,3,0,1
350,29,0,0
351,38,0,0
352,36,0,3
353,15,0,2
354,22,0,1
355,8,0,3
356,16,0,2
357,36,0,4
358,3,0,1
359,0,0,1
360,35,0,1
361,11,0,1
362,24,0,0
363,23,0,3
364,8,0,3
365,8,0,2
366,37,0,1
367,21,0,0
368,29,0,0
369,28,0,1
370,33,0,1
371,19,0,1
372,16,0,3
373,22,0,1
374,23,0,1
375,10,0,5
376,27,0,0
377,9,0,0
378,19,0,2
379,17,0,3
380,8,0,1
381,6,0,1
382,29,0,1
383,5,0,1
384,4,0,1
385,24,0,0
386,36,0,2
387,16,0,2
388,13,0,3
389,16,0,0
390,25,0,1
391,22,0,2
392,8,0,2
393,23,0,2
394,31,0,1
395,13,0,0
396,36,0,1
397,34,0,0
398,37,0,2
399,16,0,1
400,4,0,0
401,12,0,1
402,0,0,2
403,2,0,1
404,6,0,0
405,16,0,2
406,22,0,2
407,5,0,0
408,36,0,1
409,3,0,3
410,25,0,2
411,35,0,1
412,36,0,0
413,28,0,0
414,4,0,3
415,22,0,0
416,10,0,4
417,35,0,0
418,21,0,3
419,35,0,1
420,33,0,2
421,33,0,2
422,34,0,2
423,21,0,2
424,20,0,3
425,24,0,0
426,10,0,1
427,32,0,2
428,20,0,3
429,22,0,1
430,16,0,1
431,38,0,1
432,31,0,0
433,3,0,0
434,28,0,1
435,11,0,0
436,34,0,2
437,5,0,0
438,24,0,1
439,17,0,4
440,6,0,3
441,16,0,1
442,28,0,1
443,24,0,0
444,29,0,3
445,8,0,2
446,10,0,0
447,16,0,2
448,26,0,1
449,25,0,2
450,8,0,1
451,30,0,0
452,36,0,1
453,29,0,1
454,19,0,1
455,24,0,1
456,28,0,1
457,17,0,0
458,5,0,1
459,19,0,1
460,15,0,1
461,9,0,2
462,20,0,1
463,9,0,0
464,3,0,2
465,3,0,2
466,11,0,0
467,33,0,0
468,10,0,0
469,15,0,1
470,5,0,2
471,21,0,1
472,14,0,0
473,11,0,1
474,31,0,0
475,26,0,1
476,37,0,0
477,23,0,2
478,15,0,0
479,2,0,3
480,13,0,2
481,8,0,1
482,29,0,0
483,13,0,3
484,18,0,1
485,26,0,1
486,37,0,0
487,10,0,1
488,26,0,1
489,9,0,0
490,26,0,0
491,8,0,0
492,5,0,3
493,21,0,2
494,12,0,1
495,25,0,1
496,37,0,1
497,27,0,1
498,28,0,3
499,20,0,0
500,22,0,1
501,1,0,4
502,23,0,1
503,11,0,2
504,16,0,1
505,34,0,0
506,35,0,2
507,32,0,2
508,31,0,1
509,14,0,2
510,25,0,0
511,37,0,0
512,5,0,1
513,6,0,0
514,20,0,1
515,17,0,2
516,17,0,1
517,19,0,2
518,16,0,0
519,9,0,1
520,28,0,2
521,10,0,2
522,1,0,1
523,9,0,2
524,15,0,1
525,16,0,1
526,39,0,3
527,11,0,3
528,27,0,2
529,35,0,1
530,17,0,0
531,34,0,2
532,32,0,2
533,23,0,2
534,23,0,0
535,35,0,2
536,35,0,2
537,27,0,1
538,10,0,2
539,10,0,2
540,29,0,4
541,39,0,1
542,16,0,1
543,29,0,1
544,32,0,2
545,35,0,0
546,11,0,2
547,9,0,0
548,8,0,2
549,15,0,1
550,5,0,0
551,33,0,0
552,22,0,5
553,0,0,2
554,22,0,0
555,17,0,5
556,16,0,0
557,22,0,0
558,16,0,1
559,33,0,2
560,1,0,2
561,11,0,1
562,17,0,2
563,33,0,1
564,18,0,2
565,3,0,1
566,31,0,1
567,21,0,1
568,9,0,4
569,6,0,2
570,26,0,0
571,11,0,3
572,35,0,3
573,13,0,0
574,22,0,2
575,27,0,0
576,1,0,2
577,34,0,2
578,23,0,0
579,1,0,1
580,0,0,2
581,12,0,0
582,17,0,2
583,16,0,0
584,22,0,4
585,3,0,1
586,21,0,1
587,12,0,1
588,22,0,2
589,26,0,1
590,32,0,1
591,6,0,0
592,9,0,2
593,0,0,0
594,14,0,0
595,26,0,1
596,34,0,1
597,1,0,4
598,38,0,2
599,1,0,0
600,22,0,2
601,20,0,2
602,23,0,1
603,16,0,1
604,18,0,2
605,26,0,0
606,33,0,3
607,4,0,1
608,34,0,1
609,27,0,2
610,28,0,0
611,26,0,1
612,15,0,3
613,33,0,3
614,4,0,0
615,24,0,0
616,30,0,1
617,13,0,2
618,9,0,0
619,14,0,0
620,29,0,2
621,7,0,2
622,24,0,3
623,30,0,2
624,28,0,1
625,17,0,2
626,33,0,1
627,25,0,2
628,10,0,2
629,32,0,0
630,3,0,1
631,12,0,1
632,7,0,1
633,22,0,0
634,0,0,2
635,18,0,1
636,15,0,0
637,22,0,4
638,31,0,1
639,37,0,1
640,0,0,1
641,31,0,1
642,19,0,1
643,5,0,2
644,38,0,1
645,0,0,1
646,16,0,1
647,14,0,2
648,21,0,0
649,38,0,3
650,1,0,2
651,39,0,0
652,36,0,2
653,19,0,2
654,29,0,3
655,17,0,1
656,26,0,0
657,20,0,0
658,14,0,2
659,25,0,1
660,1,0,1
661,39,0,1
662,19,0,1
663,14,0,5
664,26,0,1
665,39,0,0
666,31,0,0
667,19,0,2
668,17,0,1
669,28,0,1
670,10,0,1
671,15,0,2
672,7,0,2
673,11,0,0
674,38,0,0
675,36,0,1
676,8,0,5
677,1,0,1
678,20,0,0
679,25,0,0
680,3,0,1
681,9,0,1
682,28,0,2
683,12,0,2
684,30,0,2
685,30,0,1
686,36,0,2
687,36,0,1
688,32,0,1
689,39,0,1
690,2,0,0
691,4,0,1
692,19,0,0
693,39,0,1
694,22,0,2
695,39,0,2
696,18,0,1
697,27,0,3
698,16,0,2
699,5,0,0
700,36,0,1
701,17,0,1
702,39,0,0
703,29,0,1
704,4,0,1
705,24,0,1
706,5,0,1
707,28,0,0
708,32,0,0
709,29,0,3
710,1,0,1
711,25,0,1
712,34,0,1
713,25,0,2
714,15,0,1
715,22,0,1
716,9,0,2
717,18,0,1
718,2,0,0
719,12,0,1
720,25,0,0
721,28,0,0
722,0,0,3
723,28,0,2
724,20,0,0
725,19,0,2
726,25,0,1
727,24,0,0
728,15,0,1
729,2,0,4
730,29,0,0
731,7,0,0
732,1,0,3
733,18,0,2
734,1,0,2
735,31,0,0
736,27,0,1
737,34,0,0
738,17,0,2
739,18,0,0
740,7,0,1
741,9,0,2
742,5,0,2
743,9,0,1
744,16,0,1
745,9,0,1
746,22,0,1
747,3,0,6
748,5,0,3
749,10,0,3
750,7,0,0
751,35,0,1
752,11,0,0
753,12,0,0
754,31,0,0
755,0,0,0
756,12,0,1
757,14,0,1
758,39,0,2
759,15,0,1
760,16,0,2
761,5,0,0
762,20,0,0
763,30,0,2
764,12,0,2
765,19,0,0
766,23,0,0
767,11,0,1
768,24,0,3
769,22,0,0
770,10,0,3
771,10,0,0
772,18,0,2
773,31,0,2
774,32,0,2
775,16,0,0
776,30,0,1
777,3,0,0
778,20,0,0
779,12,0,1
780,6,0,0
781,11,0,2
782,8,0,1
783,28,0,2
784,8,0,1
785,28,0,3
786,13,0,1
787,39,0,2
788,19,0,0
789,39,0,1
790,9,0,1
791,15,0,1
792,36,0,2
793,1,0,1
794,6,0,0
795,0,0,1
796,5,0,0
797,33,0,1
798,1,0,0
799,30,0,3
800,19,0,2
801,34,0,1
802,0,0,0
803,6,0,1
804,33,0,2
805,10,0,0
806,34,0,0
807,34,0,1
808,15,0,4
809,37,0,1
810,18,0,0
811,10,0,2
812,29,0,1
813,34,0,0
814,33,0,2
815,25,0,1
816,11,0,0
817,16,0,2
818,23,0,1
819,32,0,0
820,19,0,3
821,36,0,1
822,17,0,2
823,14,0,2
824,33,0,1
825,23,0,2
826,17,0,3
827,27,0,1
828,14,0,0
829,4,0,1
830,29,0,2
831,24,0,0
832,4,0,2
833,26,0,2
834,36,0,0
835,15,0,2
836,31,0,1
837,37,0,1
838,27,0,1
839,3,0,2
840,29,0,0
841,1,0,1
842,15,0,3
843,37,0,0
844,21,0,2
845,27,0,1
846,23,0,2
847,33,0,3
848,36,0,0
849,9,0,0
850,24,0,2
851,8,0,1
852,3,0,2
853,28,0,1
854,7,0,3
855,1,0,0
856,20,0,0
857,8,0,2
858,27,0,0
859,21,0,2
860,38,0,0
861,21,0,1
862,19,0,2
863,19,0,0
864,21,0,0
865,3,0,1
866,18,0,2
867,9,0,0
868,35,0,0
869,24,0,1
870,26,0,2
871,24,0,0
872,29,0,2
873,15,0,1
874,10,0,1
875,19,0,0
876,17,0,0
877,31,0,1
878,8,0,1
879,15,0,1
880,10,0,0
881,36,0,3
882,25,0,0
883,9,0,1
884,31,0,0
885,33,0,1
886,36,0,4
887,13,0,0
888,38,0,0
889,10,0,0
890,25,0,1
891,28,0,5
892,16,0,1
893,2,0,1
894,7,0,3
895,2,0,1
896,1,0,1
897,1,0,3
898,28,0,2
899,18,0,0
900,26,0,1
901,12,0,2
902,4,0,0
903,17,0,0
904,5,0,2
905,8,0,2
906,32,0,0
907,22,0,2
908,0,0,2
909,0,0,3
910,14,0,0
911,11,0,0
912,14,0,1
913,13,0,0
914,2,0,1
915,22,0,0
916,18,0,0
917,19,0,1
918,21,0,3
919,25,0,1
920,31,0,1
921,30,0,1
922,21,0,1
923,38,0,0
924,25,0,0
925,5,0,1
926,20,0,0
927,35,0,3
928,18,0,0
929,6,0,1
930,27,0,1
931,22,0,3
932,12,0,1
933,0,0,4
934,13,0,3
935,35,0,1
936,39,0,1
937,17,0,1
938,34,0,1
939,5,0,0
940,39,0,1
941,5,0,0
942,10,0,1
943,24,0,3
944,13,0,2
945,4,0,1
946,6,0,1
947,17,0,2
948,14,0,3
949,27,0,1
950,10,0,0
951,14,0,2
952,5,0,2
953,16,0,2
954,27,0,1
955,12,0,2
956,19,0,1
957,19,0,1
958,36,0,1
959,7,0,1
960,9,0,1
961,25,0,0
962,38,0,2
963,0,0,2
964,17,0,1
965,4,0,2
966,32,0,0
967,33,0,4
968,14,0,2
969,24,0,1
970,13,0,1
971,15,0,0
972,17,0,0
973,13,0,3
974,23,0,1
975,37,0,3
976,16,0,0
977,7,0,3
978,24,0,0
979,10,0,3
980,2,0,1
981,7,0,1
982,16,0,1
983,25,0,2
984,4,0,3
985,21,0,0
986,1,0,1
987,36,0,1
988,23,0,4
989,31,0,0
990,23,0,0
991,29,0,3
992,4,0,1
993,14,0,3
994,20,0,1
995,39,0,2
996,36,0,1
997,27,0,2
998,19,0,0
999,29,0,1
1000,19,0,0
1001,4,0,4
1002,25,0,0
1003,31,0,1
1004,35,0,5
1005,30,0,1
1006,20,0,1
1007,22,0,2
1008,28,0,2
1009,21,0,0
1010,29,0,0
1011,18,0,1
1012,25,0,2
1013,36,0,1
1014,21,0,2
1015,35,0,2
1016,7,0,1
1017,0,0,1
1018,19,0,0
1019,7,0,1
1020,7,0,0
1021,1,0,2
1022,30,0,3
1023,7,0,2
1024,8,0,1
1025,32,0,2
1026,24,0,0
1027,37,0,5
1028,0,0,1
1029,9,0,1
1030,16,0,0
1031,24,0,1
1032,20,0,0
1033,2,0,2
1034,5,0,0
1035,38,0,2
1036,7,0,1
1037,16,0,0
1038,22,0,1
1039,19,0,0
1040,16,0,0
1041,39,0,2
1042,34,0,1
1043,10,0,0
1044,28,0,1
1045,16,0,4
1046,23,0,1
1047,4,0,1
1048,13,0,2
1049,3,0,1
1050,4,0,0
1051,39,0,0
1052,12,0,1
1053,9,0,2
1054,19,0,0
1055,8,0,1
1056,26,0,3
1057,35,0,1
1058,9,0,2
1059,2,0,1
1060,34,0,1
1061,10,0,1
1062,23,0,2
1063,17,0,1
1064,21,0,2
1065,20,0,0
1066,20,0,3
1067,28,0,2
1068,24,0,1
1069,9,0,0
1070,29,0,1
1071,35,0,1
1072,26,0,1
1073,36,0,0
1074,25,0,0
1075,21,0,2
1076,7,0,2
1077,38,0,3
1078,21,0,2
1079,17,0,1
1080,11,0,1
1081,37,0,2
1082,36,0,1
1083,37,0,1
1084,28,0,1
1085,7,0,1
1086,20,0,2
1087,31,0,1
1088,26,0,0
1089,22,0,3
1090,34,0,1
1091,14,0,0
1092,35,0,1
1093,11,0,1
1094,35,0,2
1095,37,0,1
1096,20,0,0
1097,6,0,2
1098,4,0,1
1099,26,0,3
1100,17,0,1
1101,35,0,2
1102,23,0,1
1103,29,0,2
1104,13,0,0
1105,11,0,0
1106,37,0,0
1107,16,0,2
1108,30,0,1
1109,25,0,2
1110,36,0,1
1111,28,0,0
1112,37,0,3
1113,23,0,0
1114,15,0,1
1115,11,0,1
1116,2,0,1
1117,21,0,1
1118,11,0,1
1119,3,0,1
1120,14,0,1
1121,17,0,1
1122,39,0,1
1123,7,0,3
1124,21,0,2
1125,23,0,0
1126,11,0,0
1127,30,0,2
1128,2,0,0
1129,15,0,1
1130,12,0,0
1131,9,0,1
1132,19,0,1
1133,36,0,3
1134,31,0,3
1135,33,0,0
1136,25,0,1
1137,32,0,0
1138,25,0,0
1139,34,0,2
1140,19,0,1
1141,2,0,1
1142,4,0,2
1143,34,0,1
1144,10,0,1
1145,7,0,2
1146,29,0,0
1147,29,0,0
1148,21,0,1
1149,11,0,0
1150,36,0,2
1151,16,0,2
1152,5,0,2
1153,11,0,1
1154,16,0,0
1155,10,0,1
1156,25,0,3
1157,35,0,0
1158,28,0,0
1159,7,0,0
1160,39,0,0
1161,17,0,0
1162,9,0,2
1163,30,0,2
1164,34,0,3
1165,9,0,1
1166,25,0,0
1167,16,0,1
1168,21,0,0
1169,37,0,0
1170,21,0,2
1171,24,0,0
1172,11,0,0
1173,36,0,0
1174,28,0,2
1175,4,0,1
1176,29,0,2
1177,7,0,2
1178,37,0,1
1179,29,0,0
1180,15,0,2
1181,28,0,1
1182,29,0,2
1183,13,0,1
1184,17,0,2
1185,26,0,3
1186,5,0,2
1187,2,0,1
1188,10,0,0
1189,3,0,0
1190,24,0,1
1191,29,0,0
1192,24,0,1
1193,30,0,4
1194,3,0,1
1195,20,0,0
1196,26,0,1
1197,23,0,1
1198,15,0,0
1199,12,0,4
1200,13,0,1
1201,35,0,2
1202,37,0,0
1203,30,0,1
1204,6,0,1
1205,27,0,2
1206,24,0,1
1207,30,0,2
1208,18,0,0
1209,0,0,1
1210,39,0,3
1211,22,0,0
1212,16,0,1
1213,38,0,0
1214,16,0,1
1215,2,0,0
1216,2,0,0
1217,21,0,3
1218,14,0,2
1219,7,0,0
1220,1,0,1
1221,29,0,0
1222,0,0,0
1223,25,0,2
1224,3,0,3
1225,4,0,1
1226,2,0,0
1227,36,0,1
1228,18,0,1
1229,12,0,2
1230,18,0,0
1231,17,0,3
1232,3,0,1
1233,20,0,2
1234,22,0,1
1235,16,0,1
1236,12,0,1
1237,18,0,2
1238,3,0,1
1239,4,0,1
1240,30,0,1
1241,8,0,1
1242,12,0,2
1243,19,0,1
1244,20,0,0
1245,2,0,1
1246,16,0,4
1247,22,0,3
1248,1,0,1
1249,22,0,1
1250,16,0,2
1251,13,0,1
1252,4,0,1
1253,38,0,0
1254,4,0,0
1255,26,0,2
1256,31,0,2
1257,35,0,2
1258,1,0,2
1259,4,0,1
1260,28,0,1
1261,6,0,1
1262,36,0,1
1263,2,0,1
1264,34,0,0
1265,19,0,1
1266,38,0,0
1267,38,0,1
1268,0,0,1
1269,22,0,2
1270,39,0,1
1271,8,0,1
1272,24,0,0
1273,31,0,1
1274,9,0,1
1275,4,0,2
1276,14,0,1
1277,34,0,2
1278,2,0,3
1279,29,0,2
1280,31,0,2
1281,11,0,1
1282,38,0,3
1283,27,0,1
1284,8,0,2
1285,9,0,1
1286,12,0,0
1287,8,0,2
1288,27,0,1
1289,22,0,1
1290,27,0,2
1291,38,0,0
1292,0,0,3
1293,9,0,1
1294,16,0,0
1295,25,0,2
1296,20,0,1
1297,18,0,2
1298,34,0,1
1299,19,0,1
1300,31,0,3
1301,35,0,2
1302,0,0,1
1303,5,0,1
1304,8,0,1
1305,2,0,2
1306,31,0,0
1307,2,0,1
1308,17,0,1
1309,9,0,1
1310,26,0,1
1311,24,0,1
1312,0,0,1
1313,28,0,0
1314,35,0,2
1315,0,0,1
1316,23,0,2
1317,6,0,0
1318,32,0,0
1319,29,0,0
1320,19,0,1
1321,8,0,1
1322,10,0,1
1323,30,0,1
1324,20,0,1
1325,0,0,0
1326,13,0,1
1327,31,0,1
1328,14,0,1
1329,5,0,2
1330,0,0,0
1331,16,0,3
1332,10,0,1
1333,0,0,0
1334,31,0,2
1335,21,0,1
1336,13,0,0
1337,25,0,2
1338,18,0,1
1339,18,0,2
1340,19,0,2
1341,9,0,2
1342,35,0,3
1343,2,0,1
1344,1,0,0
1345,5,0,2
1346,9,0,0
1347,3,0,2
1348,16,0,1
1349,1,0,3
1350,38,0,2
1351,23,0,2
1352,13,0,1
1353,19,0,0
1354,37,0,0
1355,0,0,3
1356,13,0,0
1357,9,0,2
1358,34,0,1
1359,7,0,1
1360,5,0,3
1361,39,0,1
1362,39,0,3
1363,27,0,0
1364,12,0,1
1365,15,0,1
1366,13,0,2
1367,5,0,1
1368,18,0,0
1369,23,0,2
1370,14,0,3
1371,21,0,1
1372,37,0,0
1373,19,0,2
1374,21,0,2
1375,29,0,1
1376,24,0,1
1377,26,0,2
1378,13,0,0
1379,33,0,2
1380,32,0,3
1381,21,0,1
1382,4,0,3
1383,20,0,1
1384,5,0,0
1385,11,0,1
1386,20,0,1
1387,11,0,1
1388,12,0,2
1389,25,0,2
1390,23,0,0
1391,33,0,0
1392,35,0,1
1393,39,0,0
1394,29,0,2
1395,36,0,0
1396,14,0,3
1397,15,0,1
1398,35,0,0
1399,15,0,2
1400,24,0,1
1401,36,0,2
1402,9,0,0
1403,4,0,2
1404,19,0,0
1405,29,0,0
1406,9,0,4
1407,32,0,2
1408,13,0,1
1409,33,0,0
1410,4,0,1
1411,2,0,3
1412,11,0,1
1413,38,0,0
1414,2,0,2
1415,19,0,3
1416,2,0,0
1417,30,0,1
1418,28,0,1
1419,14,0,2
1420,13,0,0
1421,23,0,3
1422,29,0,1
1423,22,0,1
1424,14,0,0
1425,2,0,1
1426,27,0,4
1427,35,0,1
1428,13,0,0
1429,30,0,1
1430,36,0,3
1431,6,0,1
1432,31,0,1
1433,37,0,4
1434,32,0,1
1435,32,0,3
1436,6,0,1
1437,27,0,1
1438,35,0,1
1439,4,0,0
1440,37,0,1
1441,12,0,1
1442,6,0,0
1443,29,0,5
1444,7,0,1
1445,13,0,0
1446,8,0,2
1447,34,0,1
1448,36,0,0
1449,38,0,1
1450,6,0,1
1451,10,0,1
1452,17,0,0
1453,20,0,0
1454,29,0,0
1455,37,0,1
1456,24,0,0
1457,3,0,2
1458,35,0,0
1459,33,0,1
1460,21,0,2
1461,22,0,0
1462,25,0,0
1463,20,0,5
1464,33,0,1
1465,30,0,0
1466,23,0,1
1467,21,0,1
1468,17,0,0
1469,22,0,0
1470,31,0,0
1471,5,0,1
1472,5,0,2
1473,4,0,2
1474,1,0,1
1475,1,0,1
1476,36,0,2
1477,28,0,0
1478,5,0,4
1479,19,0,2
1480,8,0,1
1481,15,0,5
1482,25,0,2
1483,3,0,2
1484,28,0,1
1485,7,0,0
1486,11,0,1
1487,19,0,1
1488,13,0,5
1489,11,0,2
1490,19,0,2
1491,38,0,0
1492,0,0,1
1493,35,0,0
1494,3,0,0
1495,7,0,1
1496,35,0,0
1497,37,0,2
1498,0,0,0
1499,29,0,0
1500,31,0,1
1501,2,0,2
1502,26,0,2
1503,24,0,0
1504,28,0,0
1505,25,0,3
1506,30,0,1
1507,14,0,3
1508,12,0,1
1509,13,0,1
1510,25,0,1
1511,34,0,2
1512,34,0,0
1513,17,0,0
1514,27,0,1
1515,13,0,1
1516,4,0,3
1517,32,0,0
1518,14,0,1
1519,35,0,0
1520,12,0,0
1521,27,0,0
1522,36,0,4
1523,4,0,2
1524,19,0,3
1525,33,0,1
1526,39,0,1
1527,33,0,1
1528,16,0,1
1529,4,0,2
1530,21,0,1
1531,15,0,1
1532,13,0,0
1533,16,0,2
1534,5,0,2
1535,3,0,3
1536,0,0,1
1537,21,0,3
1538,39,0,1
1539,13,0,0
1540,18,0,0
1541,3,0,0
1542,39,0,0
1543,4,0,0
1544,16,0,0
1545,1,0,2
1546,23,0,1
1547,10,0,1
1548,24,0,1
1549,26,0,1
1550,33,0,0
1551,27,0,0
1552,6,0,0
1553,0,0,0
1554,18,0,0
1555,37,0,1
1556,3,0,2
1557,20,0,0
1558,8,0,2
1559,30,0,2
1560,15,0,0
1561,21,0,0
1562,28,0,2
1563,32,0,0
1564,2,0,2
1565,28,0,1
1566,38,0,1
1567,21,0,0
1568,33,0,2
1569,14,0,0
1570,30,0,0
1571,32,0,3
1572,12,0,1
1573,15,0,0
1574,23,0,2
1575,14,0,2
1576,29,0,0
1577,15,0,0
1578,29,0,1
1579,21,0,1
1580,22,0,1
1581,32,0,1
1582,15,0,1
1583,39,0,2
1584,36,0,1
1585,4,0,1
1586,32,0,1
1587,9,0,1
1588,14,0,1
1589,33,0,2
1590,14,0,0
1591,17,0,0
1592,30,0,2
1593,23,0,0
1594,12,0,1
1595,23,0,0
1596,30,0,2
1597,17,0,0
1598,17,0,0
1599,27,0,1
1600,18,0,1
1601,23,0,2
1602,38,0,3
1603,31,0,0
1604,3,0,1
1605,26,0,2
1606,33,0,2
1607,19,0,0
1608,23,0,2
1609,15,0,3
1610,19,0,2
1611,32,0,2
1612,37,0,1
1613,4,0,0
1614,5,0,2
1615,33,0,1
1616,25,0,1
1617,11,0,0
1618,2,0,1
1619,6,0,4
1620,1,0,3
1621,37,0,3
1622,23,0,0
1623,33,0,0
1624,15,0,1
1625,13,0,2
1626,39,0,0
1627,29,0,4
1628,28,0,2
1629,37,0,3
1630,22,0,0
1631,33,0,1
1632,6,0,1
1633,20,0,0
1634,5,0,3
1635,23,0,2
1636,6,0,2
1637,19,0,3
1638,35,0,2
1639,14,0,2
1640,29,0,1
1641,25,0,0
1642,8,0,0
1643,30,0,0
1644,7,0,0
1645,18,0,1
1646,24,0,1
1647,14,0,0
1648,9,0,0
1649,38,0,1
1650,23,0,2
1651,30,0,0
1652,39,0,0
1653,3,0,0
1654,32,0,1
1655,34,0,0
1656,31,0,4
1657,37,0,1
1658,27,0,1
